text,spam
subject inform shalesh pleas look give inform see remot possibl gain enron interest support growth market part process develop infrastructur market maintain public interest vinc forward vinc j kaminski hou ect 11 21 2000 09 18 yann halluin 11 16 2000 01 18 39 pm vinc j kaminski enron com cc subject inform dear sir scientif comput group univers waterloo ontario canada recent start interest recent develop bandwidth market find specif bandwidth market offer challeng model point view howev encount difficulti look data wonder could help us specif would like know given citi pair differ exist type line e g oc 3 ocl 2 oc 48 1 spot leas price e g line type mile past 12 month 2 price dark fiber given type line 3 mainten cost month line e g oc 3 ocl 2 oc 48 4 upgrad cost differ line e g much cost upgrad oc 3 ocl 2 oc 3 oc 48 ocl 2 oc 48 5 long take upgrad line certain capac anoth e g 1 month 2 month realiz question may ask confidenti data case would realli appreci order magnitud provid look forward hear sincer yann halluin p link web page http www scicom uwaterloo ca email file transmit confidenti intend sole use individu entiti address unauthor review use disclosur distribut prohibit intend recipi pleas contact sender repli e mail destroy copi origin messag,0
subject christma basket kevin pleas add copi center graphic peopl tray thank forward shirley crenshaw hou ect 11 20 2000 11 18 anita dupont enron 11 17 2000 10 07 shirley crenshaw hou ect ect cc subject christma basket shirley may send basket tray copi center graphic peopl work ee seminar forward anita dupont na enron 11 17 2000 10 02 kevin g moor ect 11 10 2000 09 32 vinc j kaminski hou ect ect mike robert hou ect ect shirley crenshaw hou ect ect anita dupont na enron enron cc subject christma basket final list christma basket year except stinson gibner vasant shanbhogu comment question pleas call x 34710 thank kevin moor still plenti time deadlin date decemb 12 2000,0
subject credit rate contact kim spoke bill bradford vp enron credit depart offer field question regard credit offic week call 713 853 3831 regard nymex trader kind trader interest larri gagliardi trade nymex crude product let know need number think someon els would help good luck ken still interest talk someon risk assess group credit rate system could get us name contact trade directli nymex,0
subject list team project vinc list team project still coupl peopl found team yet tri put one exist team jason teaml project metalgesselschaft mg lynn nazareth javier lama shauywn smith carlo wheelock team 2 energi relat futur contract john ganguzza neeraj hingorani grant johnson duan maue rishad patel eric van stone paulo yoshiura team 3 standard option contract yue guo fang li nan li traci pan wei wu jeff planck team 4 standard option contract felix feng lu ning zhang rakhi israni sanjay wankhad winni orlando taylor team 5 power pool analysi elena chilkina rob gaudett joe helm ken jett todd litton marc westmoreland,0
subject christma basket christma basket order order sever basket individu earth sat freez noti smith barney group basket rodney key matt rodger charli noti jon davi move team phillip randl chri hyde harvey frees facliti iain russel darren prager telephon servic mari martinez robert knight dept trina william daniel hornbuckl todd butler pamela ford ozarka maryam golnaraghi special basket greg whalley richard week question pleas contact kevin moor request contact kevin moor price inform contact kevin moor pleas also need assist christma card let know thank kevin moor,0
subject potenti prospect tom current space constrain shall alway take qualifi candid pleas ask georg send resum shall get touch arrang phone locat interview vinc tom arnold 04 25 2001 09 15 09 vinc j kaminski enron com cc subject potenti prospect hey vinc given eastern financ confer alreadi take place think safe assum desir energi deriv round tabl discuss howev appreci volunt potenti round tabl discuss teach real option cours student perform mont carlo analysi black schole price binomi price along heavi dosag understand risk neutral price new hire undergradu program come cours howev student finish mba next spring particularli good genuin interest curiou option price trade hedg excel vba skill fact usual figur make even small mistak calcul say student talent person realli stand think enron would interest person recommend get foot door intent finish mba know would preclud hire least take look name georg moss ordinarili would bother directli potenti employe make except case particularli good talent without slightest bit arrog otherwis hope e mail find well travel much tom professor tom arnold e j ourso colleg busi administr depart financ 2155 ceba louisiana state univers baton roug la 70803 225 388 6369 f 225 388 6366,0
subject california updat 3 06 01 execut summari comprehens deal reach april 9 th chanc bankruptci increas due one day opt claus long term power contract pg e state lock tough negoti sever issu tabl puc impos requir forc pg state 2 3 time book valu vs pg e 4 time book valu pg e use 1 b secur last week help ail util davi announc long term power contract includ detail 8 800 megawatt secur far 6 000 avail summer long term contract realli three month none contract prevent california buy peak demand spot market one day davi announc long term contract davi also quietli announc 10 rate hike ferc may wild card approv deal pg e transmiss deal one thing still uncertain pg e bankruptci may still like altern current negoti buy pg e share electr transmiss grid fail produc deal april 9 long term power contract negoti one day opt claus exercis unilater comprehens solut reach state major util accord sourc close senior pg e offici pg e made clear hope polit accept deal transmiss line depend california govern willing make major financi commit complet unwil make pg e make final deal sell grid unless davi agre reliev puc impos requir electr buyer last resort current state regul make util compani ultim respons gener purchas enough electr time suppli california energi need long state step make purchas past three month util shield absorb loss gener pay premium spot market power sell consum shield low rate ceil pg e offici worri 1 summer suppli 2 davi concern fast drain state budget surplu thing get crunch summer davi make new decis state pay electr buy long term contract pg e left hold bag thu part negoti buy electr grid pg e demand comprehens solut includ liabl cost differenti spot market purchas consum allow pay state offici mood grant kind get jail free card two side remain lock extrem tough negoti complic three factor 1 pg 2 state legisl demand price davi negoti pg 3 ferc must posit approv grid purchas state california princip concern price front pg e want sell electr grid nearli four time estim book valu transmiss consum group insist two time book valu polit accept limit see 2 3 time book valu absolut upper bound way pg e get whatev think accord leader one main consum group go tri forc deal 2 0 case negoti davi also tri proposit proof transmiss deal protect later ballot propos think way price pg e part grid trigger ballot initi rememb davi eventu solut trigger ballot initi run elect ballot public initi design overturn solut sacramento front one understand pg e motiv one question one sacramento figur kind game pg e play three day period pg e made seri announc left everyon scratch head late thursday pg e offici leak inform california paper agre principl sell part electr transmiss grid state seem like obviou good news made clear discuss price ask least 30 state current offer deal still done anyth like 10 billion pg e want would hard get california legislatur need approv purchas late friday pg e offici announc secur 1 billion loan parent compani electr util would use money pay bondhold creditor return 161 million sharehold new dividend payout cent money earmark help struggl electr orphan pg e left least one rate agenc convinc compani readi send util bankruptci previous understood weekend pg e leak stori claim will pay energi supplier debt 15 cent dollar right gener make decis morn whether start legal action protect right eventu bankruptci action hold assumpt polit process make whole coupl month kind trial balloon extrem unnerv thu short time period pg e corpor owner show could access public credit market rel eas show unwil use fund smooth way toward solut energi crisi davi demand major util absorb least part 13 billion debt accumul sinc last summer pg e fund rais harden deepen demand one senior polit offici told sourc think corpor leadership compani insult us complet possibl come someth even outrag pg long term contract actual good three month none contract howev keep california buy expens peak demand electr spot market davi agre new consum electr rate hike next year media concern davi announc long term contract california less concern media davi quietli announc decis let rate rise electr consum state accept 10 emerg surcharg levi consum januari perman increas well addit 10 increas consum take effect earli 2002 old 1996 rate cut legisl expir would bring averag charg 8 cent kilowatt hour ferc major danger transmiss line deal feder energi regulatori commiss block deal simpli fail approv posit vote senior california offici legisl doubt ferc jurisdict believ ferc would dare stop deal may wrong deal go ferc specif sign deal power transmiss deal absolut matter anyon say accord sourc close presid three possibl 1 ferc could pocket veto even put agenda discuss 2 deal put agenda get vote democrat commiss william massey alreadi said oppos 3 commiss could approv condit davi agre bring line region grid system one complic factor ferc decis howev chairman curt hebert adamantli oppos transmiss line sale may around long enough say hebert definit shoo ferc chairman posit say one washington offici two appoint commiss soon name offici note one could easili becom chairman,0
subject largest collect porn mo i ever x 89 cum wit extrem sexual achiev ever found net ton exclus never seen pic video fav pornstar exactli dream see think take beat one record welcom member entri cum see take earn spot record librari http 3 wii biz lediesnight biz absolv chamber bey avocet cyanic captiv cryptic cheap comprehens bronx admitt brash,1
subject rent r c updat 19 th floor 29 th floor hi carol thank help straighten room number peopl plu ext 1938 team room 3 3135 1939 maureen raymon 3 0396 1940 tanya tamarchenko 3 3997 1941 vacant 1942 vacant 1943 clayton vernon 3 9719 1944 amitava dhar 3 4215 1945 alex huang 3 1631 1946 kevin kindal 5 8167 1947 vacant 1948 vacant 1949 farouk llaji 3 1790 1951 vacant 1951 printer fax 1952 vacant 1953 mail stop suppli station 1954 wm sam smith 5 8322 1955 martin lin 3 9387 1955 xerox machin 1956 printer color printer 1957 vacant 1958 paulo issler 5 6274 1959 vincent tang 3 4790 1960 ravi thuraisingham 3 3057 1961 shirley crenshaw 3 5290 1962 vinc kaminski 3 3848 1963 stinson gibner 3 4748 1964 p v krishnarao 3 5485 1966 grant masson 3 4768 1967 zimin lu 3 6388 1968 vacant 1969 kevin moor 3 4710 1969 vacant 1969 b vacant 1970 mike robert 3 5701 1971 joe hrgovcic 3 3914 1972 vacant 1972 b roman zadorozhni 3 9737 1972 c michael sergeev 3 4305 1972 tricia tlapek 3 6615 1972 e jason sokolov 3 6286 1973 vasant shanbhogu 3 7570 19 c 2 confer room carol brittain 01 10 2000 11 33 shirley crenshaw hou ect ect cc joann holloway epsc hou ect ect janel dure hou ect ect subject rent r c updat 19 th floor 29 th floor shirley could forward name locat extens updat fm employe list take care carol enron properti servic corp joann holloway 01 10 2000 09 48 carol brittain epsc hou ect ect cc subject rent r c updat 19 th floor 29 th floor forward joann holloway epsc hou ect 01 10 2000 09 48 shirley crenshaw 01 07 2000 03 33 pm joann holloway epsc hou ect ect cc subject rent r c updat 19 th floor 29 th floor oh dear thought straight ebl 931 room origin floor plan somehow chang number pack everyth readi move happen come 19 th floor day move notic renumb room move team hurredli put sticker old number door room eb 1961 vinc kaminski 1962 need name room let know sorri enron properti servic corp joann holloway 01 07 2000 03 09 pm shirley crenshaw hou ect ect cc subject rent r c updat 19 th floor 29 th floor shirley guess floor plan misnumb room number sit reloc request eb 1931 jo ann shirley crenshaw 01 07 2000 02 16 pm joann holloway epsc hou ect ect cc subject rent r c updat 19 th floor 29 th floor joann sorri joann read first e mail list space 19 charg 0011 100038 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1951 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 enron properti servic corp joann holloway 01 07 2000 02 04 pm shirley crenshaw hou ect ect cc subject rent r c updat 19 th floor 29 th floor shirley although rent locat 19 th floor updat receiv reloc updat folk move 45 th floor 19 th floor tonight odd thing among mani locat follow locat includ alreadi request assign 0011 100038 eb 1930 eb 1931 eb 1932 eb 1933 eb 1934 eb 1935 eb 1936 pleas let know stay assign group assign group r c thank jo ann x 35957 enron properti servic corp joann holloway 01 05 2000 08 47 shirley crenshaw hou ect ect cc bcc joann holloway epsc hou ect subject rent r c updat 19 th floor 29 th floor shirley follow locat 29 th floor still assign 0011 100038 list decemb 17 th churn reloc request personnel locat still report 0011 100038 move later pleas advis eb 2963 eb 2963 b eb 2964 eb 2965 eb 2965 b eb 2966 eb 2966 b eb 2966 c eb 2966 eb 2970 c eb 2971 eb 2975 eb 2975 b follow locat 19 th floor assign 0011 100038 eb 1928 eb 1929 eb 1929 eb 1930 eb 1930 eb 1931 eb 1932 eb 1933 eb 1934 eb 1935 eb 1936 eb 1938 eb 1941 eb 1942 eb 1943 eb 1944 eb 1945 eb 1947 eb 1949 thank jo ann holloway x 35957,0
subject risk 2000 boston dear vinc apologis send anoth email wonder could confirm talk titl plu bullet point present annual us congress attach condens programm event speak stream three part new research deriv model analysi section unfortun print brochur end week need detail thursday 27 januari best regard oliv direct 44 171 484 9880 risk public 28 29 haymarket london swli 4 rx fax 44 171 484 9800 email conf ny msn com www riskpubl com attl htm condens doc,0
